37,D
24,D
36,D
15,H
26,H
17,H
18,V
41,D
18,H
15,H
15,V
22,D
32,D
16,D
29,V
23,H
25,H
7,H
17,V
28,D
35,D
21,D
33,V
25,H
18,D
22,D
16,V
34,H
32,V
12,V
21,V
25,V
23,V
9,V
22,D
36,H
25,V
27,H
37,H
11,H
17,V
32,H
24,H
20,H
42,H
19,V
10,V
8,H
17,H
22,D
11,H
19,V
23,D
11,H
26,H
24,D
27,V
19,V
21,V
15,V
19,V
22,V
23,V
20,V
21,V
22,D
22,V
19,V
16,V
17,V
15,D
26,H
16,V
31,D
20,H
25,D
20,V
27,V
29,V
20,D
22,V
13,V
11,V
32,V
29,D
7,V
13,H
16,H
13,H
24,V
19,H
25,H
30,D
23,V
15,H
19,H
18,V
25,H
17,V
22,H
26,D
15,V
7,H
26,V
18,V
28,D
7,H
13,V
25,V
13,H
21,D
23,D
27,V
33,V
23,D
27,H
24,H
25,H
39,D
13,H
34,D
26,H
37,D
22,V
11,H
29,V
28,H
18,H
22,V
15,H
15,V
9,H
29,D
14,H
27,V
30,H
15,V
14,H
34,D
29,D
19,V
25,V
19,H
27,V
9,H
23,V
15,V
37,V
9,H
17,V
27,D
24,D
28,H
21,V
22,H
17,H
28,V
14,V
17,V
32,V
25,V
7,H
19,V
25,V
9,V
14,D
26,H
13,H
27,H
13,H
33,H
9,H
25,D
27,V
23,D
10,V
19,V
17,H
32,D
37,D
14,V
21,D
16,H
13,V
30,D
20,V
33,D
18,H
18,V
29,V
15,V
22,H
32,D
15,H
23,D
27,H
21,H
27,H
27,H
21,V
11,V
9,V
15,V
29,V
16,H
24,D
26,D
8,H
30,D
22,H
9,H
27,D
15,H
21,D
21,D
24,H
27,D
18,V
11,H
32,V
24,D
13,H
14,V
24,D
30,H
10,V
31,D
36,V
9,H
25,V
12,V
28,D
28,D
12,V
40,H
21,V
16,H
18,D
28,H
24,V
40,H
27,D
11,H
18,H
22,D
23,H
8,H
22,V
10,H
14,V
22,H
27,H
18,D
17,H
13,V
22,V
30,V
16,D
15,V
17,V
30,D
15,H
15,H
25,D
23,H
18,V
28,D
26,H
34,D
9,H
17,H
20,V
9,H
13,V
13,H
32,H
20,V
30,H
31,D
26,H
28,V
24,H
33,V
15,V
17,V
27,D
32,D
9,H
34,D
19,D
13,H
9,H
9,H
18,D
15,V
12,V
25,D
18,V
30,H
29,H
12,H
10,D
22,H
19,V
11,H
29,H
20,D
27,H
14,D
9,H
11,H
23,H
23,V
24,H
18,V
17,V
22,H
19,V
23,H
10,H
11,H
23,D
20,H
26,D
28,D
25,D
16,H
30,D
19,H
26,D
23,V
19,H
28,D
26,H
16,H
16,H
21,H
20,D
20,V
18,V
17,V
21,D
32,V
32,V
14,H
9,H
29,H
33,H
16,H
16,V
25,V
33,V
18,D
17,V
16,H
18,D
16,V
7,H
36,V
18,V
11,H
23,H
28,V
9,H
19,V
14,V
23,V
17,V
19,D
26,D
35,V
21,H
18,V
9,H
20,D
9,H
19,V
27,D
14,H
26,D
25,D
20,V
26,D
23,D
35,H
14,V
11,H
17,V
20,H
20,V
24,D
29,V
12,H
34,H
19,H
17,D
18,D
24,D
23,V
22,V
16,V
23,H
15,V
39,V
18,D
35,D
18,V
25,D
22,V
35,H
26,D
14,V
19,H
19,H
24,D
9,H
18,V
16,V
24,D
24,H
13,V
19,H
27,D
15,H
16,V
16,H
13,H
11,V
26,V
31,V
27,D
23,V
19,V
31,D
21,D
24,V
19,H
9,H
9,H
25,D
27,V
27,V
32,D
21,D
29,D
15,D
15,V
33,V
29,D
31,D
26,H
42,V
22,H
27,D
18,H
28,H
11,H
20,D
17,H
34,H
11,H
23,V
11,V
20,V
23,H
9,V
28,H
19,V
17,V
27,D
9,H
18,H
25,H
14,V
19,V
16,H
39,H
22,V
7,H
9,V
17,V
19,V
27,H
28,H
21,H
11,H
13,H
